0000	Spooky Wardrobe     
0CC7	Gingham Parasol     
0CC8	Plaid Parasol       
0CC9	Plaid Parasol       
0CCA	Plaid Parasol       
0CCB	Plaid Parasol       
0CCC	Lacy Parasol        
0CCD	Lacy Parasol        
0CCE	Lacy Parasol        
0CCF	Lacy Parasol        
0CD0	Elegant Umbrella    
0CD1	Elegant Umbrella    
0CD2	Elegant Umbrella    
0CD3	Elegant Umbrella    
0CD4	Dainty Parasol      
0CD5	Dainty Parasol      
0CD6	Dainty Parasol      
0CD7	Dainty Parasol      
0CD8	Classic Umbrella    
0CD9	Classic Umbrella    
0CDA	Classic Umbrella    
0CDB	Classic Umbrella    
0CDC	Nintendo Parasol    
0CDD	Nintendo Parasol    
0CDE	Nintendo Parasol    
0CDF	Nintendo Parasol    
0CE0	Bumbershoot         
0CE1	Bumbershoot         
0CE2	Bumbershoot         
0CE3	Bumbershoot         
0CE4	Sunny Parasol       
0CE5	Sunny Parasol       
0CE6	Sunny Parasol       
0CE7	Sunny Parasol       
0CE8	Batbrella           
0CE9	Batbrella           
0CEA	Batbrella           
0CEB	Batbrella           
0CEC	Checked Umbrella    
0CED	Checked Umbrella    
0CEE	Checked Umbrella    
0CEF	Checked Umbrella    
0CF0	Yellow Umbrella     
0CF1	Yellow Umbrella     
0CF2	Yellow Umbrella     
0CF3	Yellow Umbrella     
0CF4	Leaf Umbrella       
0CF5	Leaf Umbrella       
0CF6	Leaf Umbrella       
0CF7	Leaf Umbrella       
0CF8	Lotus Parasol       
0CF9	Lotus Parasol       
0CFA	Lotus Parasol       
0CFB	Lotus Parasol       
0CFC	Paper Parasol       
0CFD	Paper Parasol       
0CFE	Paper Parasol       
0CFF	Paper Parasol       
0D00	Polka Parasol       
0D01	Polka Parasol       
0D02	Polka Parasol       
0D03	Polka Parasol       
0D04	Sharp Umbrella      
0D05	Sharp Umbrella      
0D06	Sharp Umbrella      
0D07	Sharp Umbrella      
0D08	Twig Parasol        
0D09	Twig Parasol        
0D0A	Twig Parasol        
0D0B	Twig Parasol        
0D0C	Noodle Parasol      
0D0D	Noodle Parasol      
0D0E	Noodle Parasol      
0D0F	Noodle Parasol      
0D10	Hypno Parasol       
0D11	Hypno Parasol       
0D12	Hypno Parasol       
0D13	Hypno Parasol       
0D14	Pastel Parasol      
0D15	Pastel Parasol      
0D16	Pastel Parasol      
0D17	Pastel Parasol      
0D18	Retro Umbrella      
0D19	Retro Umbrella      
0D1A	Retro Umbrella      
0D1B	Retro Umbrella      
0D1C	Icy Umbrella        
0D1D	Icy Umbrella        
0D1E	Icy Umbrella        
0D1F	Icy Umbrella        
0D20	Blue Umbrella       
0D21	Blue Umbrella       
0D22	Blue Umbrella       
0D23	Blue Umbrella       
0D24	Flame Umbrella      
0D25	Flame Umbrella      
0D26	Flame Umbrella      
0D27	Flame Umbrella      
0D28	Clu Clu Land        
0D29	Clu Clu Land        
0D2A	Clu Clu Land        
0D2B	Clu Clu Land        
0D2C	Balloon Fight       
0D2D	Balloon Fight       
0D2E	Balloon Fight       
0D2F	Balloon Fight       
0D30	Donkey Kong         
0D31	Donkey Kong         
0D32	Donkey Kong         
0D33	Donkey Kong         
0D34	DK Jr MATH          
0D35	DK Jr MATH          
0D36	DK Jr MATH          
0D37	DK Jr MATH          
0D38	Pinball             
0D39	Pinball             
0D3A	Pinball             
0D3B	Pinball             
0D3C	Tennis              
0D3D	Tennis              
0D3E	Tennis              
0D3F	Tennis              
0D40	Golf                
0D41	Golf                
0D42	Golf                
0D43	Golf                
0D44	Famicom             
0D45	Famicom             
0D46	Famicom             
0D47	Famicom             
0D48	Phonograph          
0D49	Phonograph          
0D4A	Phonograph          
0D4B	Phonograph          
0D4C	Turntable           
0D4D	Turntable           
0D4E	Turntable           
0D4F	Turntable           
0D50	Jukebox             
0D51	Jukebox             
0D52	Jukebox             
0D53	Jukebox             
0D54	Red Boom Box        
0D55	Red Boom Box        
0D56	Red Boom Box        
0D57	Red Boom Box        
0D58	White Boom Box      
0D59	White Boom Box      
0D5A	White Boom Box      
0D5B	White Boom Box      
0D5C	High-end Stereo     
0D5D	High-end Stereo     
0D5E	High-end Stereo     
0D5F	High-end Stereo     
0D60	Hi-fi Stereo        
0D61	Hi-fi Stereo        
0D62	Hi-fi Stereo        
0D63	Hi-fi Stereo        
0D64	Lovely Stereo       
0D65	Lovely Stereo       
0D66	Lovely Stereo       
0D67	Lovely Stereo       
0D68	Jingle Lamp         
0D69	Jingle Lamp         
0D6A	Jingle Lamp         
0D6B	Jingle Lamp         
0D6C	Jingle Chair        
0D6D	Jingle Chair        
0D6E	Jingle Chair        
0D6F	Jingle Chair        
0D70	Jingle Shelves      
0D71	Jingle Shelves      
0D72	Jingle Shelves      
0D73	Jingle Shelves      
0D74	Jingle Sofa         
0D75	Jingle Sofa         
0D76	Jingle Sofa         
0D77	Jingle Sofa         
0D78	Jingle Bed          
0D79	Jingle Bed          
0D7A	Jingle Bed          
0D7B	Jingle Bed          
0D7C	Jingle Clock        
0D7D	Jingle Clock        
0D7E	Jingle Clock        
0D7F	Jingle Clock        
0D80	Jingle Table        
0D81	Jingle Table        
0D82	Jingle Table        
0D83	Jingle Table        
0D84	Jingle Piano        
0D85	Jingle Piano        
0D86	Jingle Piano        
0D87	Jingle Piano        
0D88	Aiko Figurine       
0D89	Aiko Figurine       
0D8A	Aiko Figurine       
0D8B	Aiko Figurine       
0D8C	Robo-Stereo         
0D8D	Robo-Stereo         
0D8E	Robo-Stereo         
0D8F	Robo-Stereo         
0D90	Dice Stereo         
0D91	Dice Stereo         
0D92	Dice Stereo         
0D93	Dice Stereo         
0D94	Apple Clock         
0D95	Apple Clock         
0D96	Apple Clock         
0D97	Apple Clock         
0D98	Robo-clock          
0D99	Robo-clock          
0D9A	Robo-clock          
0D9B	Robo-clock          
0D9C	Kitschy Clock       
0D9D	Kitschy Clock       
0D9E	Kitschy Clock       
0D9F	Kitschy Clock       
0DA0	Antique Clock       
0DA1	Antique Clock       
0DA2	Antique Clock       
0DA3	Antique Clock       
0DA4	Reel-to-reel        
0DA5	Reel-to-reel        
0DA6	Reel-to-reel        
0DA7	Reel-to-reel        
0DA8	Tape Deck           
0DA9	Tape Deck           
0DAA	Tape Deck           
0DAB	Tape Deck           
0DAC	CD Player           
0DAD	CD Player           
0DAE	CD Player           
0DAF	CD Player           
0DB0	Glow Clock          
0DB1	Glow Clock          
0DB2	Glow Clock          
0DB3	Glow Clock          
0DB4	Odd Clock           
0DB5	Odd Clock           
0DB6	Odd Clock           
0DB7	Odd Clock           
0DB8	Red Clock           
0DB9	Red Clock           
0DBA	Red Clock           
0DBB	Red Clock           
0DBC	Cube Clock          
0DBD	Cube Clock          
0DBE	Cube Clock          
0DBF	Cube Clock          
0DC0	Owl Clock           
0DC1	Owl Clock           
0DC2	Owl Clock           
0DC3	Owl Clock           
0DC4	Lucky Cat           
0DC5	Lucky Cat           
0DC6	Lucky Cat           
0DC7	Lucky Cat           
0DC8	Lucky Black Cat     
0DC9	Lucky Black Cat     
0DCA	Lucky Black Cat     
0DCB	Lucky Black Cat     
0DCC	Samurai Suit        
0DCD	Samurai Suit        
0DCE	Samurai Suit        
0DCF	Samurai Suit        
0DD0	Tanuki Figurine     
0DD1	Tanuki Figurine     
0DD2	Tanuki Figurine     
0DD3	Tanuki Figurine     
0DD4	Lucky Frog          
0DD5	Lucky Frog          
0DD6	Lucky Frog          
0DD7	Lucky Frog          
0DD8	Big Festive Tree    
0DD9	Big Festive Tree    
0DDA	Big Festive Tree    
0DDB	Big Festive Tree    
0DDC	White Rook          
0DDD	White Rook          
0DDE	White Rook          
0DDF	White Rook          
0DE0	Black Rook          
0DE1	Black Rook          
0DE2	Black Rook          
0DE3	Black Rook          
0DE4	White Queen         
0DE5	White Queen         
0DE6	White Queen         
0DE7	White Queen         
0DE8	Black Queen         
0DE9	Black Queen         
0DEA	Black Queen         
0DEB	Black Queen         
0DEC	White Bishop        
0DED	White Bishop        
0DEE	White Bishop        
0DEF	White Bishop        
0DF0	Black Bishop        
0DF1	Black Bishop        
0DF2	Black Bishop        
0DF3	Black Bishop        
0DF4	White King          
0DF5	White King          
0DF6	White King          
0DF7	White King          
0DF8	Black King          
0DF9	Black King          
0DFA	Black King          
0DFB	Black King          
0DFC	White Knight        
0DFD	White Knight        
0DFE	White Knight        
0DFF	White Knight        
0E00	Black Knight        
0E01	Black Knight        
0E02	Black Knight        
0E03	Black Knight        
0E04	White Pawn          
0E05	White Pawn          
0E06	White Pawn          
0E07	White Pawn          
0E08	Black Pawn          
0E09	Black Pawn          
0E0A	Black Pawn          
0E0B	Black Pawn          
0E0C	Festive Tree        
0E0D	Festive Tree        
0E0E	Festive Tree        
0E0F	Festive Tree        
0E10	Kiddie Clock        
0E11	Kiddie Clock        
0E12	Kiddie Clock        
0E13	Kiddie Clock        
0E14	Kiddie Bed          
0E15	Kiddie Bed          
0E16	Kiddie Bed          
0E17	Kiddie Bed          
0E18	Kiddie Table        
0E19	Kiddie Table        
0E1A	Kiddie Table        
0E1B	Kiddie Table        
0E1C	Kiddie Couch        
0E1D	Kiddie Couch        
0E1E	Kiddie Couch        
0E1F	Kiddie Couch        
0E20	Kiddie Stereo       
0E21	Kiddie Stereo       
0E22	Kiddie Stereo       
0E23	Kiddie Stereo       
0E24	Kiddie Chair        
0E25	Kiddie Chair        
0E26	Kiddie Chair        
0E27	Kiddie Chair        
0E28	Kiddie Bookcase     
0E29	Kiddie Bookcase     
0E2A	Kiddie Bookcase     
0E2B	Kiddie Bookcase     
0E2C	Alcove              
0E2D	Alcove              
0E2E	Alcove              
0E2F	Alcove              
0E30	Hearth              
0E31	Hearth              
0E32	Hearth              
0E33	Hearth              
0E34	Chalk Board         
0E35	Chalk Board         
0E36	Chalk Board         
0E37	Chalk Board         
0E38	Mop                 
0E39	Mop                 
0E3A	Mop                 
0E3B	Mop                 
0E3C	Tricera Skull       
0E3D	Tricera Skull       
0E3E	Tricera Skull       
0E3F	Tricera Skull       
0E40	Tricera Tail        
0E41	Tricera Tail        
0E42	Tricera Tail        
0E43	Tricera Tail        
0E44	Tricera Torso       
0E45	Tricera Torso       
0E46	Tricera Torso       
0E47	Tricera Torso       
0E48	T-rex Skull         
0E49	T-rex Skull         
0E4A	T-rex Skull         
0E4B	T-rex Skull         
0E4C	T-rex Tail          
0E4D	T-rex Tail          
0E4E	T-rex Tail          
0E4F	T-rex Tail          
0E50	T-rex Torso         
0E51	T-rex Torso         
0E52	T-rex Torso         
0E53	T-rex Torso         
0E54	Apato Skull         
0E55	Apato Skull         
0E56	Apato Skull         
0E57	Apato Skull         
0E58	Apato Tail          
0E59	Apato Tail          
0E5A	Apato Tail          
0E5B	Apato Tail          
0E5C	Apato Torso         
0E5D	Apato Torso         
0E5E	Apato Torso         
0E5F	Apato Torso         
0E60	Stego Skull         
0E61	Stego Skull         
0E62	Stego Skull         
0E63	Stego Skull         
0E64	Stego Tail          
0E65	Stego Tail          
0E66	Stego Tail          
0E67	Stego Tail          
0E68	Stego Torso         
0E69	Stego Torso         
0E6A	Stego Torso         
0E6B	Stego Torso         
0E6C	Ptera Skull         
0E6D	Ptera Skull         
0E6E	Ptera Skull         
0E6F	Ptera Skull         
0E70	Ptera Right Wing    
0E71	Ptera Right Wing    
0E72	Ptera Right Wing    
0E73	Ptera Right Wing    
0E74	Ptera Left Wing     
0E75	Ptera Left Wing     
0E76	Ptera Left Wing     
0E77	Ptera Left Wing     
0E78	Plesio Skull        
0E79	Plesio Skull        
0E7A	Plesio Skull        
0E7B	Plesio Skull        
0E7C	Plesio Neck         
0E7D	Plesio Neck         
0E7E	Plesio Neck         
0E7F	Plesio Neck         
0E80	Plesio Torso        
0E81	Plesio Torso        
0E82	Plesio Torso        
0E83	Plesio Torso        
0E84	Mammoth Skull       
0E85	Mammoth Skull       
0E86	Mammoth Skull       
0E87	Mammoth Skull       
0E88	Mammoth Torso       
0E89	Mammoth Torso       
0E8A	Mammoth Torso       
0E8B	Mammoth Torso       
0E8C	Amber               
0E8D	Amber               
0E8E	Amber               
0E8F	Amber               
0E90	Dinosaur Track      
0E91	Dinosaur Track      
0E92	Dinosaur Track      
0E93	Dinosaur Track      
0E94	Ammonite            
0E95	Ammonite            
0E96	Ammonite            
0E97	Ammonite            
0E98	Dinosaur Egg        
0E99	Dinosaur Egg        
0E9A	Dinosaur Egg        
0E9B	Dinosaur Egg        
0E9C	Trilobite           
0E9D	Trilobite           
0E9E	Trilobite           
0E9F	Trilobite           
0EA0	Modern Lamp         
0EA1	Modern Lamp         
0EA2	Modern Lamp         
0EA3	Modern Lamp         
0EA4	Snowman Fridge      
0EA5	Snowman Fridge      
0EA6	Snowman Fridge      
0EA7	Snowman Fridge      
0EA8	Snowman Table       
0EA9	Snowman Table       
0EAA	Snowman Table       
0EAB	Snowman Table       
0EAC	Snowman Bed         
0EAD	Snowman Bed         
0EAE	Snowman Bed         
0EAF	Snowman Bed         
0EB0	Snowman Chair       
0EB1	Snowman Chair       
0EB2	Snowman Chair       
0EB3	Snowman Chair       
0EB4	Snowman Lamp        
0EB5	Snowman Lamp        
0EB6	Snowman Lamp        
0EB7	Snowman Lamp        
0EB8	Snowman Sofa        
0EB9	Snowman Sofa        
0EBA	Snowman Sofa        
0EBB	Snowman Sofa        
0EBC	Snowman TV          
0EBD	Snowman TV          
0EBE	Snowman TV          
0EBF	Snowman TV          
0EC0	Snowman Dresser     
0EC1	Snowman Dresser     
0EC2	Snowman Dresser     
0EC3	Snowman Dresser     
0EC4	Snowman Wardrobe    
0EC5	Snowman Wardrobe    
0EC6	Snowman Wardrobe    
0EC7	Snowman Wardrobe    
0EC8	Snowman Clock       
0EC9	Snowman Clock       
0ECA	Snowman Clock       
0ECB	Snowman Clock       
0ECC	ああああああああああ          
