0000	          \r          \r          \r       Zero\r[close]
22D4	#7F09 00 00 17#うーん、[pause 6]キミがきてくれるのは\rウレシイけどぉ、[pause 6]\rどうして\rそんなにキマグレなんだい?\r[wait]\r[CLS]まえにきたのが\r[string 8]かげつまえ。\r[wait]\r[CLS]#7F09 00 00 07#なんか\rキミのつごうのいいときに[pause 2]\rりようされてるだけ\rみたいだよぉ、[pause 8][nickname]!\r[open]
22D5	#7F09 00 00 13#あふぅぅ。[pause 20]\rちょっと ネムいけどぉ、[pause 6]\rよくきてくれたねぇ。\r[wait]#7F09 00 00 FF#\r[CLS]#7F09 00 00 12#[pause 35]ま、[pause 6][string 8]かげつぶりにあうんだし、[pause 6]\rボクのすいみんを\rジャマしたことは\rゆるしてあげるよ、[pause 8][nickname]!\r[open]
22D6	#7F09 00 00 0B#あれぇ?[pause 15]\rひさしぶりの[player]くんは[pause 6]\rどうやって\rこのいえにはいったんだい?\r[wait]\r[CLS]#7F09 00 00 FF#キミみたいに しんやに\rしのびこむひとがいるからぁ、[pause 6]\rちゃんと とじまりをした\rつもりだったのに、[pause 8][nickname]。\r[wait]\r[CLS]#7F09 00 00 03#まぁ、[pause 4]キミが\rへんなきをおこさないなら、[pause 6]\rカギがなくても モンダイは\rないんだけどねぇ! [pause 8][nickname]!\r[open]
22D7	こんばんはぁ、[pause 4][player]くん![pause 15]\rどんなにひさしぶりでも[pause 4]\rマイペースの\rキミが うらやましいよぉ!\r[wait]\r[CLS]#7F09 00 00 12#ボクだったら\rきをつかっちゃってぇ、[pause 6]\rこんなじかんには\rあいに これないもんなぁ。\r[wait]\r[CLS]#7F09 00 00 07#あ、[pause 10]\rベツに イヤミでいってるわけじゃ\rないからねぇ! [pause 8][nickname]!\r[open]
22D8	#7F09 00 00 15#ウーッス! [pause 12]オハヨー、[pause 8][nickname]![pause 16]\r#7F09 00 00 04#おっ?[wait]\r#7F09 00 00 06#おおおおおおおおっ?!\r[wait]\r[CLS]#7F09 00 00 0E#おまえ [player]だなーっ?!\r[wait]\r[CLS]あんまりながいこと\rカオを みなかったから、[pause 12]\rもうやめたのかとおもってたぞぉ!\r[pause 8][nickname]!\r[open]
22D9	#7F09 00 00 15#やぁ おはよう、[pause 8][player]![pause 20]\rひっ[pause 4]さしぶりだなぁ!\r[wait]\r[CLS]この[string 8]かげつ、[pause 16]\rおまえ どこいってたの?\r[pause 8][nickname]?\r[open]
22DA	#7F09 00 00 15#よぉ、[pause 8][player]ーっ!\r[wait]\r[CLS]#7F09 00 00 FF#おまえ、いままで\rなにしてたんだ、[pause 8][nickname]?[wait]\r#7F09 00 00 16#ずいぶん さがしたんだぞぉ。\r[wait]\r[CLS]#7F09 00 00 FF#なんか おもしろいゲームでも\rはつばいされたのかぁ?[pause 20]\r#7F09 00 00 0E#おいらにも やらせてくれよー![pause 8]\r[nickname]ー!\r[open]
22DB	ウーッス! [pause 8]コンニチハー![wait]\r#7F09 00 00 04#あっ![pause 8]\r[player] はっけん!\r[wait]\r[CLS]#7F09 00 00 16#おまえさぁ、[pause 8]つめたいぞぉ![pause 20]\r#7F09 00 00 FF#たまにはカオみせるとかさぁ、[pause 8]\r#7F09 00 00 17#てがみかくとか しろよなー。\r[wait]\r[CLS]#7F09 00 00 FF#おいらたち ともだちだろ?\r[pause 8][nickname]?\r[open]
22DC	#7F09 00 00 15#やぁ、[pause 6]おいら [speaker]![pause 12]\rよろしくな、[pause 8][nickname]![pause 16]\r・[pause 2]・[pause 2]・[pause 2]・[pause 2]・[pause 2]・[pause 2]・[pause 2]・[pause 6]#7F09 00 00 06#!!\r[wait]\r[CLS]なんだ、[pause 8]おまえ\r[player]じゃないか![pause 20]\r[string 8]かげつも\rどこ いってたんだぁ?\r[wait]\r[CLS]#7F09 00 00 FF#まさか おいらを\rさけてたワケじゃないだろ?\r[pause 8][nickname]?\r[open]
22DD	#7F09 00 00 04#や[pause 1]や[pause 1]やっ![pause 8]\rおまえ [player]だよな?[wait]\rホンモノだよな、[pause 8][nickname]?\r[wait]\r[CLS]#7F09 00 00 FF#[player]のすがたを\rみかけなくなってから[pause 6]\r[string 8]かげつも すぎてるし、\r[wait]\r[CLS]#7F09 00 00 17#もう やめちゃったのかと\rおもってたよー、#7F09 00 00 FF#[pause 8][nickname]!\r[open]
22DE	#7F09 00 00 04#あっ! [pause 8][player]![pause 20]\r[string 8]かげつも カオみせないで[pause 6]\r#7F09 00 00 0B#なにやってたんだ? [pause 8][nickname]?[wait]\rりょこうにでも いってたのかぁ?\r[wait]\r[CLS]#7F09 00 00 FF#おまえが いないあいだ[pause 8]\rあそんでくれるひと いなくてさぁ[pause 12]\rヒマも [pause 4]たいりょくも[pause 10]\rもてあましてたんだよぉーっ!\r[open]
22DF	#7F09 00 00 04#おっ! [pause 8][player]だ![wait]\rなんか あったのか? [pause 8][nickname]?[pause 16]\rいままで ずーっと\rあそびにこなかったのにさぁ!\r[wait]\r[CLS]#7F09 00 00 FF#んーと、[pause 20]あれから もう[pause 10]\r[string 8]かげつも たつんだぞぉ!\r[wait]\r[CLS]おいらのこと [pause 2]わすれちゃったかと\rおもってたよ、[pause 8][nickname]!\r[open]
22E0	#7F09 00 00 03#ウーッス! [pause 8]コンバンハー![pause 20]\rで、[pause 8]ひさしぶり! [pause 8][nickname]!#7F09 00 00 15#\r[wait]\r[CLS]#7F09 00 00 FF#[string 8]かげつも [pause 6]どこで\rなにしてたんだぁ?[wait]\rあそびにいくなら、[pause 6]おいらも\rさそってほしかったぞ!\r[open]
22E1	ん? [pause 8]#7F09 00 00 02#わっ![pause 16]\rおまえのことなんて すっかり\rわすれてたよ、[pause 8][nickname]!\r[wait]\r[CLS]#7F09 00 00 FF#へー、[pause 10]あれから[string 8]かげつかぁ。[pause 20]\r#7F09 00 00 15#ひさしぶりだな、[pause 8]ンガブズヌフ!\r[wait]\r[CLS]#7F09 00 00 0B#え?[pause 16]\rおまえ [pause 8][player]だったっけ?[pause 20]\r#7F09 00 00 15#ゴメン ゴメン、[pause 8][nickname]。\r[open]
22E2	#7F09 00 00 15#やぁ、[pause 6]おそくまで\rせいがでるなぁ、[pause 8][nickname]!\r[wait]\r[CLS]#7F09 00 00 FF#まえにも [pause 6]おまえみたいに\rよなかにウロウロしてるヤツが\rいたんだけどさぁ、\r[wait]\r[CLS]#7F09 00 00 08#[string 8]かげつほどまえに\rとつぜん すがたをけしたんだ。\r[wait]\r[CLS]#7F09 00 00 0B#たしか[pause 8]・[pause 2]・[pause 2]・[pause 8][player]\rっていうなまえだったかな。[pause 20]\rいまごろ どうしてるのかなぁ。\r[wait]\r[CLS]#7F09 00 00 04#えっ、[pause 8]おまえが[player]なの?\r[pause 8][nickname]?!\r[open]
22E3	#7F09 00 00 15#よぉ、[pause 6][player]![pause 20]\rひさしぶりだなぁ、[pause 8][nickname]!\r[wait]\r[CLS]さいきん みかけないとおもったら[pause 8]\rこんなじかんに\rゴソゴソしてたのかぁ?\r[wait]\r[CLS]#7F09 00 00 FF#よるは ちゃんとねないと[pause 6]\rからだこわすぞぉ、[pause 8][nickname]!\r[open]
22E4	#7F09 00 00 01#[pause 6]あぁ、うるせーな![pause 20]\r#7F09 00 00 16#あさから おおごえ[pause 8]・[pause 2]・[pause 2]・[pause 16]#7F09 00 00 06#!!\r[wait]\r[CLS][player]なのか?[pause 20]\r#7F09 00 00 15#ずいぶん ひさしぶりじゃねぇか![wait]\r#7F09 00 00 FF#おめぇ [pause 2]いったいいままで[pause 4]\rどこ いってたんだ? [pause 8][nickname]?\r[wait]\r[CLS]#7F09 00 00 16#まさか わるさして\rつかまっちまってたんじゃ[pause 3]・[pause 3]・[pause 3]・。\r[wait]\r[CLS]#7F09 00 00 FF#ちがうのか?[pause 8]\rなら いいんだけどよ、[pause 8][nickname]。\r[open]
22E5	#7F09 00 00 15#おう、[pause 12]ひさしぶりじゃねぇか![pause 20]\r#7F09 00 00 FF#さいごにあったのは\rいつごろだ? [pause 8][nickname]?\r[wait]\r[CLS][string 8]かげつくらいまえか。[pause 20]\rそんなにながいこと\rあいさつも なしとは[pause 12]\r#7F09 00 00 16#オレもナメられちまったもんだぜ。\r[wait]\r[CLS]#7F09 00 00 15#ジョーダン [pause 6]ジョーダン。[pause 12]\rなんとも おもってねーよ。[pause 8]\r#7F09 00 00 03#がっ[pause 2]はっ[pause 2]はっ[pause 2]は!\r[pause 16][nickname]!#7F09 00 00 15#\r[open]
22E6	#7F09 00 00 15#おっ、[pause 12][player]じゃねぇか![pause 20]\rひさしぶりだな、[pause 8][nickname]!\r[wait]\r[CLS]#7F09 00 00 FF#[string 8]かげついじょうも\rカオをみせねぇなんて、[pause 12]\rいったい どうしたってんだ?\r[wait]\r[CLS]#7F09 00 00 12#オレにないしょで[pause 8]\rなんか たのしいこと[pause 8]\rしてたんじゃ ねぇだろーなぁ?!\r[pause 8][nickname]?!\r[open]
22E7	#7F09 00 00 06#おう、[pause 12][player]っ![pause 20]\rおめぇ いきてたのか、[pause 8][nickname]?\r[wait]\r[CLS]#7F09 00 00 FF#もう ずいぶんカオみねぇから[pause 8]\rしんじまったのかと\rおもってたぜ。[pause 20]\r#7F09 00 00 03#がっ[pause 2]はっ[pause 2]はっ[pause 2]は。[pause 8]#7F09 00 00 15#\r[open]
22E8	#7F09 00 00 16#なんでぇ、おめぇ![pause 20]\rなにもいわずに すがたを\rくらましやがって、[pause 8][nickname]!\r[wait]\r[CLS]#7F09 00 00 FF#ずいぶん さがしたんだぜぇ。[pause 20]\rなんかあったら いちばんに[pause 8]\rオレにそうだんしろってんだよ。\r[wait]\r[CLS]#7F09 00 00 15#ま、[pause 4]げんきそうだし\rあんしんしたけどよぉ、[pause 8][nickname]。\r[open]
22E9	#7F09 00 00 15#よぉ、[pause 12][player]![pause 20]\r#7F09 00 00 0E#しばらく みねぇあいだに[pause 8]\rちょこっと せがのびたかなぁ?[wait]\r#7F09 00 00 0B#ん? [pause 16]かわってない? [pause 8][nickname]?\r[wait]\r[CLS]#7F09 00 00 03#がっ[pause 3]はっ[pause 3]はっ[pause 3]は。#7F09 00 00 15#[wait]\r[string 8]かげつくらいじゃ[pause 8]\rそんなに かわらねぇか!\r[pause 8][nickname]!\r[open]
22EA	#7F09 00 00 02#あ、[pause 8]おめぇ![wait]\rひさしぶりなのは いいけどよ、[pause 20]\r#7F09 00 00 16#ヤバイんじゃねぇのか?\r[pause 8][nickname]?\r[wait]\r[CLS]くらくなってきたとはいえ、[pause 8]\rまだまだ ようじんするに\rこしたことはねぇぜ。\r[wait]\r[CLS]#7F09 00 00 04#えっ? [pause 8]しゃっきんとりから\rにげてるんじゃねぇのか?\r[wait]\r[CLS]#7F09 00 00 FF#きゅうにすがたをくらませたから[pause 8]\rてっきり よにげでも したのかと\rおもってたぜ、[pause 8][nickname]!\r[open]
22EB	よぉ、[pause 12][player]![pause 20]\rどうだい、[pause 12]うまくいってんのか?\r[pause 8][nickname]?\r[wait]\r[CLS]#7F09 00 00 16#なにがって おめぇ、[pause 16]\rへやの レイアウトのことに\rきまってるだろ、[pause 8][nickname]!\r[wait]\r[CLS]#7F09 00 00 FF#もしかして [pause 10]\rかぐのうごかしかたも[pause 6]\rわすれちまったんじゃねぇの?\r[open]
22EC	#7F09 00 00 06#お、[pause 16]めずらしいヤツが\rいるじゃねぇか!\r[wait]\r[CLS]#7F09 00 00 FF#ずいぶんひさしぶりだが\rどうしてたんだぁ、[pause 8][nickname]?\r[wait]\r[CLS]#7F09 00 00 15#どうせ おめぇのことだから[pause 16]\rひろったもんでも たべて[pause 8]\rハラこわして [pause 4]ねこんでたんじゃ\rねぇのか、[pause 8][nickname]?\r[wait]\r[CLS]#7F09 00 00 03#がっ[pause 3]はっ[pause 3]はっ[pause 3]は、[pause 16]#7F09 00 00 15#おこるなよ、[pause 12]\rジョーダンじゃねぇか、[pause 8][nickname]!\r[open]
22ED	#7F09 00 00 07#ひゃー[pause 2]ー[pause 2]ー[pause 2]っ![pause 20]\r#7F09 00 00 17#ビックリしたな [pause 8]#7F09 00 00 16#もぉーっ!\r[pause 8][nickname]!\r[wait]\r[CLS]#7F09 00 00 FF#・[pause 2]・[pause 2]・[pause 8]いや、[pause 12]\rビビったんじゃなくてな、[pause 16]\r[string 8]かげつものあいだ\rあわなかった おめぇがよぉ、\r[wait]\r[CLS]#7F09 00 00 16#とつぜん めのまえに\rあらわれた もんだからだなぁ、\r[wait]\r[CLS]#7F09 00 00 15#ま、[pause 16]とにかく、ひさしぶりだな。[pause 20]\rげんきそうで\rなによりだ、[pause 8][nickname]!\r[open]
22EE	#7F09 00 00 04#おっ、[pause 12][player]![wait]\r#7F09 00 00 0D#なげぇあいだ、[pause 12]おつとめ\rごくろーだったな、[pause 8][nickname]。\r[wait]\r[CLS]#7F09 00 00 17#これからは こころをいれかえて[pause 12]\rまっとうなじんせいを[pause 8]・[pause 2]・[pause 2]・[wait]\r#7F09 00 00 05#[pause 8]コラーッ! [pause 12]ちゃんと\rツッコんでくれよぉ!#7F09 00 00 16#\r[wait]\r[CLS]はずかしいじゃねぇか![pause 8]#7F09 00 00 FF#[pause 8]\r#7F09 00 00 16#ボケぞんかよぉ、[pause 8][nickname]!\r[open]
22EF	おっ、[pause 12]ひさしぶりだな\r[player]!\r[wait]\r[CLS]#7F09 00 00 17#おめぇが カオみせなくなってから[pause 12]\rよるの はなしあいてが\rいなくなっちまってよぉ、[pause 16]\rたいくつだったぜ、[pause 8][nickname]。\r[wait]\r[CLS]#7F09 00 00 FF#もっと ちょくちょく\rあそびにきてくれよ。\r[open]
22F0	#7F09 00 00 16#ヤだなぁ、[pause 8]あさから\rそうぞうしい#7F09 00 00 17#[pause 8]・[pause 2]・[pause 2]・。\r[wait]\r[CLS]#7F09 00 00 06#あっ! [pause 16]もしかして\r[player]ちゃんなのぉ?[wait]\r#7F09 00 00 15#ちょっと、[pause 6]どうしちゃったのよ、[pause 10]\r[string 8]かげつぶりよぉ!\r[wait]\r[CLS]#7F09 00 00 FF#それにしても、[pause 12]\rしばらくみないうちに[pause 8]\rおたく [pause 4]ヤセたんじゃない?\r[wait]\r[CLS]#7F09 00 00 16#ちょっと くやしい、[pause 8][nickname]!\r[open]
22F1	#7F09 00 00 0E#あらーっ![pause 16]\r[player]ちゃん\rひさしぶりじゃないのぉ!\r[wait]\r[CLS]#7F09 00 00 15#[string 8]かげつも\rどこにいってたワケぇ?[pause 20]\rしんぱいさせないでよねー!\r[pause 8][nickname]ー!\r[open]
22F2	#7F09 00 00 04#あらぁ! [pause 8]なつかしいわねぇ![pause 16]\r#7F09 00 00 FF#・[pause 2]・[pause 2]・[pause 8]えーっと[pause 8]・[pause 2]・[pause 2]・[pause 16]\r#7F09 00 00 0B#おたく [pause 12]だれだったかしら?\r[pause 8][nickname]?\r[wait]\r[CLS]#7F09 00 00 06#そうそう、[pause 8][player]ちゃんね。[pause 20]\r#7F09 00 00 15#ヤだ、[pause 12]わすれるワケないでしょ。[wait]\rおともだち[pause 2]・[pause 2]・[pause 2]・#7F09 00 00 0B#[pause 8]だったわよね?\r[pause 8][nickname]?\r[open]
22F3	あら、[player]ちゃん。[pause 16]\rずいぶん ながいあいだ[pause 8]\rごぶさただったわねぇ。\r[wait]\r[CLS]えーっと、#7F09 00 00 0B#[pause 8][string 8]かげつぶりくらい?[pause 8]\rりょこうにでも いってたの?\r[pause 8][nickname]?\r[open]
22F4	あ、[pause 16]ひさしぶりー。[pause 20]\rホント、[pause 8]ながいこと\rあってなかったわねぇ。\r[wait]\r[CLS]#7F09 00 00 0B#いそがしかったのかしら?[pause 20]\rめずらしい かぐをもとめて\rたびに でてたとか? [pause 8][nickname]?\r[open]
22F5	へぇ、[pause 16][player]ちゃん[pause 8]\rひさしぶりじゃないの。\r[wait]\r[CLS]#7F09 00 00 15#ずーっと あいにこなかったから、[pause 16]\rあたしのこと [pause 8]もうわすれたのかと\rおもってたわ、[pause 8][nickname]。\r[wait]\r[CLS]#7F09 00 00 12#あっ、[pause 16]もしかして[pause 8]\rあたしだと きづかずに\rはなしかけてきたんじゃ\rないのぉ? [pause 8][nickname]?\r[open]
22F6	#7F09 00 00 15#あら、こんばんは![pause 8]\rだれかとおもったら\r[player]ちゃんだったのね。\r[wait]\r[CLS][string 8]かげつぶりってところかしら。[pause 8]\rさぞかし いろいろと\rしゅうかくが あったでしょうね。\r[wait]\r[CLS]#7F09 00 00 0D#じつは ずーっと\rサボってただけだったりして、[pause 8]\r[nickname]。\r[open]
22F7	ん? [pause 16]#7F09 00 00 16#ずいぶん\rなれなれしいヒトね。[pause 8]\rおたく [pause 8]だれ、[pause 8][nickname]?\r[wait]\r[CLS]#7F09 00 00 0B#[player][pause 2]・[pause 2]・[pause 2]・?[pause 8]\rきいたことあるような、[pause 4]\rないような[pause 2]・[pause 2]・[pause 2]・。\r[wait]\r[CLS]#7F09 00 00 16#で、[pause 12]ともだちなの? [pause 8]あたしたち。[wait]\r#7F09 00 00 FF#ふーん、[pause 8]そうだったの?[pause 8]\rどっちでもいいんだけどぉ、[pause 8]\rあたしは[pause 2]・[pause 2]・[pause 2]・、[pause 8][nickname]。\r[open]
22F8	#7F09 00 00 17#ちょっとぉ![pause 16]\r#7F09 00 00 16#[player]ちゃん いままで\rどこいってたの、[pause 8][nickname]?!\r[wait]\r[CLS]#7F09 00 00 FF#べつに おたくのことを\rしんぱいする ギリはないけど、\r[wait]\r[CLS]#7F09 00 00 16#[string 8]かげつも カオをみないと[pause 6]\rやっぱ きになるでしょ![pause 12]\r#7F09 00 00 FF#げんきにしてたのぉ、[pause 8][nickname]?\r[open]
22F9	#7F09 00 00 02#キャー[pause 4]っ![pause 20]\r#7F09 00 00 17#こんなよなかに だれなのよぉ?![pause 12]\r#7F09 00 00 16#ひとを よぶわよぉ、[pause 8][nickname]!\r[wait]\r[CLS]#7F09 00 00 0B#えっ? [pause 16][player]?[pause 8][wait]\r#7F09 00 00 16#そんなひと しらないわよっ![pause 8]\r#7F09 00 00 07#たすけてぇーっ! [pause 8]だれかーっ!\r[pause 8][nickname]ーっ!\r[wait]\r[CLS]#7F09 00 00 FF#・[pause 2]・[pause 2]・[pause 2]・[pause 2]・[pause 2]ってなっちゃうくらい\rながいこと あってなかったわね、[pause 8]\r[player]ちゃん!\r[wait]\r[CLS]#7F09 00 00 16#おたく、ともだちづきあい\rちょっとわるいわよ。[wait]\rこれで すこしは こりた?\r[pause 8][nickname]?\r[open]
22FA	#7F09 00 00 04#わっ、[pause 16][player]ちゃん?\r[wait]\r[CLS]#7F09 00 00 FF#おたく、しばらくみないうちに[pause 12]\r#7F09 00 00 0B#すこし ふとったんじゃない?[pause 20]\rずーっと なまけてたのかしら?\r[pause 8][nickname]?\r[open]
22FB	#7F09 00 00 16#あーっ! [pause 16][player]ちゃん![pause 20]\r#7F09 00 00 FF#おたくさぁ、[pause 12]いそがしいのかも\rしれないけどさぁ、\r[wait]\r[CLS]いくらなんでも[pause 6]\r[string 8]かげつも しらんかおってのは\rないんじゃないのぉ?!\r[wait]\r[CLS]#7F09 00 00 16#もっと あそびにきてよねーっ!\r[pause 8][nickname]ーっ!\r[open]
22FC	#7F09 00 00 04#あ、[pause 6]おひさしぶりです![pause 12]\r[string 9]しゅうかんぶり\rですよね! [pause 8][nickname]!\r[wait]\r[CLS]#7F09 00 00 FF#あなたって、[pause 6]\rいったい このせまいむらの\r#7F09 00 00 0B#どこにいたのですか!?[pause 8]\r[nickname]!?\r[wait]\r[CLS]#7F09 00 00 FF#・[pause 6]・[pause 6]・[pause 6]#7F09 00 00 0C#[pause 30]あ、[pause 6]わかりました![pause 12]\rずっと いえのなかに\rいたのですね、[pause 8][nickname]!\r[open]
22FD	#7F09 00 00 0B#えーっと、[pause 6][player]さん、[pause 10]\rですよね?\r[wait]\r[CLS]#7F09 00 00 17#すうしゅうかんまえに\rみかけていらい[pause 4]\rまったく おとさたなしでしたが、[pause 6]\rなにをされてたのですか?\r[wait]\r[CLS]#7F09 00 00 07#たまには わたしのうちにも\rカオをだしてくださいよ![pause 8]\r[nickname]!\r[open]
22FE	#7F09 00 00 15#おはようございます![pause 6]\r[player]さん!\r[wait]\r[CLS]さいきん まったく\rおあいしてなかったけど、[pause 6]\rひさびさに おはなしできて\rうれしいです! [pause 8][nickname]!\r[open]
22FF	#7F09 00 00 04#あら、[pause 6]こんにちは![pause 12]\r[string 9]しゅうかんぶりですよね?[pause 8]\r[nickname]?\r[wait]\r[CLS]#7F09 00 00 15#このいえも、[pause 6]\rしばらくみないうちに\rだいぶ かわったでしょ?\r[wait]\r[CLS]すこしずつ わたしごのみに\rかえてるんですよ、[pause 8][nickname]!\r[open]
2300	#7F09 00 00 02#あっ![pause 6]\r[player]さんではないですか!\r[wait]\r[CLS]#7F09 00 00 07#そとにいても みかけないし、[pause 6]\rいえをおとずれるわけでもないし、[pause 6]\rどうしたんだろうと\rおもってましたよ、[pause 8][nickname]!\r[open]
2301	こんにちは、[pause 6][player]さん。[pause 12]\rひさしぶりにおあいしますが、[pause 6]\rこんかいは あえて\rひょうじょうをかえません。\r[wait]\r[CLS]いつもどおりの わたしですけど、[pause 6]\rきをわるくしないでくださいね、[pause 8]\r[nickname]。\r[open]
2302	こんばんは![pause 12]\rおげんきでしたか?\r[wait]\r[CLS]#7F09 00 00 15#あなたが たぼうなのは\rわかっていますが、[pause 6]\rときには きゅうそくも\rひつようですよ、[pause 8][nickname]!\r[wait]\r[CLS]ムリしないで、[pause 6]\rわたしのいえで くつろいでいって\rくださいね! [pause 8][nickname]!\r[open]
2303	#7F09 00 00 0B#[pause 20][player]さん?[wait]\r#7F09 00 00 FF#ずいぶん はなしてなかった\rきがするのですが、[pause 6]どこに\rいらっしゃったの、[pause 8][nickname]?\r[open]
2304	おひさしぶりですね![pause 10]\r[player]さん。[wait]\rひさしぶりの わたしのいえは\r#7F09 00 00 0B#どうですか? [pause 8][nickname]?\r[open]
2305	#7F09 00 00 07#な、[pause 6]なんですか!?[pause 12]\rこんなじかんに\rいきなり フラッとこられても[pause 4]\rこまりますわ!\r[wait]\r[CLS]#7F09 00 00 16#しばらくあわないうちに、[pause 4]\r[player]さんって\rわがままになったんですね![pause 8]\r[nickname]!\r[open]
2306	#7F09 00 00 02#えー![pause 12]\rなんで [player]さんが\rいえのなかに いるのですか?[pause 8]\r[nickname]?\r[wait]\r[CLS]#7F09 00 00 16#このところ みかけないとは\rおもっていましたが、[pause 6]\rまさか うちにすんでたんじゃ\rないでしょうね、[pause 8][nickname]?\r[open]
2307	#7F09 00 00 17#あのぅ、[pause 6]ひさしぶりに\rあいにきてくださるのは\rうれしいのですが、[pause 6]\rカギ [pause 8]かかってませんでしたか?\r[wait]\r[CLS]#7F09 00 00 16#どうやって はいられたのかは\rわかりませんが、[pause 6]\rドロボウみたいなまねは\rやめてくださいね! [pause 8][nickname]!\r[open]
2308	#7F09 00 00 15#おっはよー![pause 12]\rひさしぶりの\r[player]ちゃん!\r[wait]\r[CLS]まえにあったときと\rなにもかわってないみたいだけど、[pause 6]\r#7F09 00 00 0B#いったい ナニをやってたの?[pause 8]\r[nickname]?\r[open]
2309	えーっと、[pause 6]#7F09 00 00 0B#[pause 30][player]ちゃん?\r[wait]\r[CLS]#7F09 00 00 03#ひさしぶりにあうんで、[pause 6]\rアンタのカオを かんぺきに\rわすれてたわ、[pause 8][nickname]![wait]\rゴメンねー!\r[open]
230A	あっ、[pause 6]おっはよー![pause 12]\rアタイのきおくだと[pause 6]・[pause 6]・[pause 6]・\r#7F09 00 00 0C#[pause 30][string 9]しゅうかんぶりだよ!\r[wait]\r[CLS]#7F09 00 00 15#しばらく きてなかったし、[pause 6]\rいえのばしょを\rわすれてたんじゃない?[pause 8]\r[nickname]?\r[open]
230B	#7F09 00 00 0A#こんにちはー![pause 6]\r[player]ちゃん![pause 12]\rアタイのこと\rちゃんと おぼえてたんだね!\r[wait]\r[CLS]#7F09 00 00 15#れんらくが なにもなかったから、[pause 6]\rてっきりアタイのことを\rわすれちゃったのかと\rおもってたわ、[pause 8][nickname]!\r[open]
230C	#7F09 00 00 06#ちょっとぉ![pause 12]\r[player]ちゃんじゃない!?\r[wait]\r[CLS]#7F09 00 00 FF#アンタって、[pause 6]\rさいきん ぜんぜんアタイのへやを\rみにこなくなったわよね?\r[wait]\r[CLS]#7F09 00 00 02#あーっ! [pause 12]まさか、[pause 6]\rアタイのへやからは もうなにも\rまなべないっていうの、[pause 8][nickname]!\r[wait]\r[CLS]#7F09 00 00 07#ヒドイ ヒドイ![pause 12]\rこんなにイケてる へやなのにー!\r[open]
230D	[player]ちゃん、[pause 6]\rこんにちはっ![pause 12]\rアタイが いえにいるじかんを\rまだ おぼえていてくれたのね!\r[wait]\r[CLS]#7F09 00 00 12#ほんとうは [string 9]しゅうかんも\rあいにこなかったし、[pause 6]\rすっかり アタマにきてたんだけど\rゆるすことにしたわ! [pause 8][nickname]!\r[open]
230E	#7F09 00 00 16#こんばんはっ![pause 12]\rやっと あいにきたようね、[pause 8]\r[nickname]!\r[wait]\r[CLS]もし きょうもこなかったら、[pause 6]\rにどと アタイのうちに\rあげないところだったわ![pause 8]\r[nickname]!\r[open]
230F	#7F09 00 00 17#[pause 10]ねぇ、[player]ちゃん。[pause 12]\rこのむらって、[pause 6]\rそんなにひろかったっけ?\r[wait]\r[CLS]#7F09 00 00 07#だって、[pause 6]アンタとあわなくなって\rもう[string 9]しゅうかんも\rたってるのよ、[pause 8][nickname]!\r[wait]\r[CLS]ふつうだったら カオくらいは\rみかけたりすると\rおもわない? [pause 8][nickname]?\r[open]
2310	#7F09 00 00 15#こんばんはー![pause 6]\r[player]ちゃん!\r[wait]\r[CLS]ずいぶん アンタのこえを\rきいてなかったんだけど、[pause 6]\rひさしぶりに きくと\rホッとするわね、[pause 8][nickname]!\r[wait]\r[CLS]#7F09 00 00 0A#「てがみ」とかもいいけど、[pause 6]\rやっぱり\rいちばんのコミュニケーションは\rあってはなすことよ! [pause 8][nickname]!\r[open]
2311	#7F09 00 00 16#アンタって、[pause 6]あいかわらず\rじかんに ルーズなのね!\r[wait]\r[CLS]いくらアタイに\rはやく あいたいといっても、[pause 6]\rいま [hours]よ![pause 8]\r[nickname]!\r[wait]\r[CLS]だいたい、[pause 6]もう ねてるじかんとは\rおもわなかったの! [pause 8][nickname]!\r[open]
2312	#7F09 00 00 04#あーら、[pause 6]ひさしぶり![pause 12]\r・[pause 6]・[pause 6]・[pause 6]#7F09 00 00 16#だけど、[pause 6]\rちょっとくるのが おそくない?\r[wait]\r[CLS]きょうは\rおきてたからいいものの、[pause 6]\rいつもなら いまごろユメごこちで\rねむってるわよ、[pause 8][nickname]。\r[wait]\r[CLS]ちゃんと、[pause 4]\rじかんをかくにんしてきてね![pause 8]\r[nickname]!\r[open]
2313	・[pause 8]・[pause 8]・[pause 8]#7F09 00 00 01#こらーっ![pause 12]\rなにかってに ひとのいえに\rあがってるのよ!\r[wait]\r[CLS]ひさしぶりにあうのに、[pause 6]\rいきなり あがりこまれても\rこまるじゃない!\r[wait]\r[CLS]#7F09 00 00 16#うーん、[pause 4]まったく\rゆだんもスキも\rあったもんじゃないわ![pause 8]\r[nickname]!\r[open]
2314	[player]くん、[pause 6]おはよぉ![pause 15]\r[string 9]しゅうかんぶりの\r#7F09 00 00 0B#ボクのいえは どうだい?\r[wait]\r[CLS]#7F09 00 00 FF#いままで\rきづかなかったとおもうけどぉ、[pause 6]\rけっこう キレイに\rかたづいてるだろぉ? [pause 8][nickname]?\r[wait]\r[CLS]#7F09 00 00 15#いつ [pause 2]ダレがくるか\rわからないからぁ、[pause 6]\rきあいをいれて\rそうじしてたんだぁ、[pause 8][nickname]!\r[open]
